TRAPHI;Execute TRAP Exception if HIgher;#<vector>;;*;*;*;*;*
TRAPHS;Execute TRAP Exception if Higher or Same;#<vector>;;*;*;*;*;*
TRAPLE;Execute TRAP Exception if Less than or Equal;#<vector>;;*;*;*;*;*
TRAPLO;Execute TRAP Exception if Lower;#<vector>;;*;*;*;*;*
TRAPLS;Execute TRAP Exception if Lower or Same;#<vector>;;*;*;*;*;*
TRAPLT;Execute TRAP Exception if Less than;#<vector>;;*;*;*;*;*
TRAPMI;Execute TRAP Exception if Minus;TRAPcc MI,<label>;-W-;*;*;*;*;*
TRAPNE;Execute TRAP Exception if Not Equal;#<vector>;;*;*;*;*;*
TRAPPL;Execute TRAP Exception if Plus;#<vector>;;*;*;*;*;*
TRAPT;Execute TRAP Exception if True;#<vector>;;*;*;*;*;*
TRAPV;TRAPV Exception if V-bit Set;TRAPV;;*;*;*;*;*
TRAPVC;Execute TRAP Exception if Overflow Clear;#<vector>;;*;*;*;*;*
TRAPVS;Execute TRAP Exception if Overflow Set;#<vector>;;*;*;*;*;*
TST;TeST for negative or zero;<ea>;BWL;-;*;*;0;0
TST;TeST for negative or zero;Dn;BWL;-;*;*;0;0
UNLK;Unlink;An;---;-;-;-;-;-
